year,list_position,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,name,duration_ms,release_date,album_type,explicit
2020-01-11,1,21jGcNKet2qwijlDFuPiPb,0.695,0.763,0.0,-3.497,1.0,0.0396,0.189,0.00242,0.0863,0.551,120.042,4.0,Circles,215280,2019-09-06,album,False
2015-09-12,1,22VdIZQfgXJea34mQxlt81,0.705,0.769,9.0,-5.526,0.0,0.0425,0.113,0.0,0.105,0.583,107.949,4.0,Can't Feel My Face,213520,2015-08-28,album,False
2015-09-26,1,22VdIZQfgXJea34mQxlt81,0.705,0.769,9.0,-5.526,0.0,0.0425,0.113,0.0,0.105,0.583,107.949,4.0,Can't Feel My Face,213520,2015-08-28,album,False
2013-05-18,1,22skzmqfdWrjJylampe0kt,0.633,0.927,2.0,-4.468,1.0,0.0839,0.0267,0.0,0.0986,0.88,146.097,4.0,Can't Hold Us (feat. Ray Dalton),258431,2012-10-09,album,False
2013-05-25,1,22skzmqfdWrjJylampe0kt,0.633,0.927,2.0,-4.468,1.0,0.0839,0.0267,0.0,0.0986,0.88,146.097,4.0,Can't Hold Us (feat. Ray Dalton),258431,2012-10-09,album,False
2013-06-01,1,22skzmqfdWrjJylampe0kt,0.633,0.927,2.0,-4.468,1.0,0.0839,0.0267,0.0,0.0986,0.88,146.097,4.0,Can't Hold Us (feat. Ray Dalton),258431,2012-10-09,album,False
2013-06-08,1,22skzmqfdWrjJylampe0kt,0.633,0.927,2.0,-4.468,1.0,0.0839,0.0267,0.0,0.0986,0.88,146.097,4.0,Can't Hold Us (feat. Ray Dalton),258431,2012-10-09,album,False
2013-06-15,1,22skzmqfdWrjJylampe0kt,0.633,0.927,2.0,-4.468,1.0,0.0839,0.0267,0.0,0.0986,0.88,146.097,4.0,Can't Hold Us (feat. Ray Dalton),258431,2012-10-09,album,False
2016-05-07,1,275a9yzwGB6ncAW4SxY7q3,0.686,0.73,10.0,-5.504,0.0,0.412,0.0287,0.0,0.369,0.271,145.251,4.0,Panda,247866,2016-02-26,single,True
2016-05-14,1,275a9yzwGB6ncAW4SxY7q3,0.686,0.73,10.0,-5.504,0.0,0.412,0.0287,0.0,0.369,0.271,145.251,4.0,Panda,247866,2016-02-26,single,True
2021-10-23,1,27NovPIUIRrOZoCHxABJwK,0.736,0.704,3.0,-7.409,0.0,0.0615,0.0203,0.0,0.0501,0.894,149.995,4.0,INDUSTRY BABY (feat. Jack Harlow),212000,2021-07-23,single,True
2000-07-29,1,2AW37v0bDyuOzGP3XnmFuA,0.636,0.873,0.0,-4.672,0.0,0.071,0.0407,1.27e-06,0.0372,0.908,165.071,4.0,It's Gonna Be Me,192426,2000-03-21,album,False
2000-08-05,1,2AW37v0bDyuOzGP3XnmFuA,0.636,0.873,0.0,-4.672,0.0,0.071,0.0407,1.27e-06,0.0372,0.908,165.071,4.0,It's Gonna Be Me,192426,2000-03-21,album,False
2000-09-23,1,2BcOZ4vOeu2qZowIHrvTYy,0.736,0.802,7.0,-8.527,1.0,0.0663,0.00149,0.0876,0.14,0.871,119.854,4.0,Music,225973,2000-09-19,album,False
2000-09-30,1,2BcOZ4vOeu2qZowIHrvTYy,0.736,0.802,7.0,-8.527,1.0,0.0663,0.00149,0.0876,0.14,0.871,119.854,4.0,Music,225973,2000-09-19,album,False
2000-10-07,1,2BcOZ4vOeu2qZowIHrvTYy,0.736,0.802,7.0,-8.527,1.0,0.0663,0.00149,0.0876,0.14,0.871,119.854,4.0,Music,225973,2000-09-19,album,False
2003-12-06,1,2CtCwQhY0ZLvr8L2l8Bo6e,0.751,0.84,6.0,-4.855,1.0,0.349,0.367,0.0,0.0916,0.801,99.057,4.0,Stand Up,213760,2003-01-01,album,True
2010-12-04,1,2ENexcMEMsYk0rVJigVD3i,0.789,0.706,11.0,-4.233,0.0,0.0429,0.112,1.71e-05,0.0586,0.638,125.918,4.0,Only Girl (In The World),235493,2010-01-01,album,False
2023-12-09,1,2EjXfH91m7f8HiJN1yQg97,0.598,0.47,8.0,-8.744,1.0,0.0496,0.617,0.0,0.505,0.879,67.086,4.0,Rockin' Around The Christmas Tree,126266,1964-10-19,album,False
2023-12-16,1,2EjXfH91m7f8HiJN1yQg97,0.598,0.47,8.0,-8.744,1.0,0.0496,0.617,0.0,0.505,0.879,67.086,4.0,Rockin' Around The Christmas Tree,126266,1964-10-19,album,False
2024-01-06,1,2EjXfH91m7f8HiJN1yQg97,0.598,0.47,8.0,-8.744,1.0,0.0496,0.617,0.0,0.505,0.879,67.086,4.0,Rockin' Around The Christmas Tree,126266,1964-10-19,album,False
2024-07-13,1,2FQrifJ1N335Ljm3TjTVVf,0.722,0.709,9.0,-4.95,1.0,0.0273,0.0633,0.0,0.0804,0.604,81.012,4.0,A Bar Song (Tipsy),171291,2024-04-12,single,True
2024-07-27,1,2FQrifJ1N335Ljm3TjTVVf,0.722,0.709,9.0,-4.95,1.0,0.0273,0.0633,0.0,0.0804,0.604,81.012,4.0,A Bar Song (Tipsy),171291,2024-04-12,single,True
2024-08-03,1,2FQrifJ1N335Ljm3TjTVVf,0.722,0.709,9.0,-4.95,1.0,0.0273,0.0633,0.0,0.0804,0.604,81.012,4.0,A Bar Song (Tipsy),171291,2024-04-12,single,True
2024-08-10,1,2FQrifJ1N335Ljm3TjTVVf,0.722,0.709,9.0,-4.95,1.0,0.0273,0.0633,0.0,0.0804,0.604,81.012,4.0,A Bar Song (Tipsy),171291,2024-04-12,single,True
2024-08-17,1,2FQrifJ1N335Ljm3TjTVVf,0.722,0.709,9.0,-4.95,1.0,0.0273,0.0633,0.0,0.0804,0.604,81.012,4.0,A Bar Song (Tipsy),171291,2024-04-12,single,True
2024-08-24,1,2FQrifJ1N335Ljm3TjTVVf,0.722,0.709,9.0,-4.95,1.0,0.0273,0.0633,0.0,0.0804,0.604,81.012,4.0,A Bar Song (Tipsy),171291,2024-04-12,single,True
2024-08-31,1,2FQrifJ1N335Ljm3TjTVVf,0.722,0.709,9.0,-4.95,1.0,0.0273,0.0633,0.0,0.0804,0.604,81.012,4.0,A Bar Song (Tipsy),171291,2024-04-12,single,True
2024-09-07,1,2FQrifJ1N335Ljm3TjTVVf,0.722,0.709,9.0,-4.95,1.0,0.0273,0.0633,0.0,0.0804,0.604,81.012,4.0,A Bar Song (Tipsy),171291,2024-04-12,single,True
2024-09-14,1,2FQrifJ1N335Ljm3TjTVVf,0.722,0.709,9.0,-4.95,1.0,0.0273,0.0633,0.0,0.0804,0.604,81.012,4.0,A Bar Song (Tipsy),171291,2024-04-12,single,True
2024-09-21,1,2FQrifJ1N335Ljm3TjTVVf,0.722,0.709,9.0,-4.95,1.0,0.0273,0.0633,0.0,0.0804,0.604,81.012,4.0,A Bar Song (Tipsy),171291,2024-04-12,single,True
2024-09-28,1,2FQrifJ1N335Ljm3TjTVVf,0.722,0.709,9.0,-4.95,1.0,0.0273,0.0633,0.0,0.0804,0.604,81.012,4.0,A Bar Song (Tipsy),171291,2024-04-12,single,True
2024-10-05,1,2FQrifJ1N335Ljm3TjTVVf,0.722,0.709,9.0,-4.95,1.0,0.0273,0.0633,0.0,0.0804,0.604,81.012,4.0,A Bar Song (Tipsy),171291,2024-04-12,single,True
2024-10-12,1,2FQrifJ1N335Ljm3TjTVVf,0.722,0.709,9.0,-4.95,1.0,0.0273,0.0633,0.0,0.0804,0.604,81.012,4.0,A Bar Song (Tipsy),171291,2024-04-12,single,True
2019-08-24,1,2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,7.0,-10.965,1.0,0.375,0.328,0.13,0.1,0.562,135.128,4.0,bad guy,194087,2019-03-29,album,False
2018-07-21,1,2G7V7zsVDxg1yRsu7Ew9RJ,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,4.0,In My Feelings,217925,2018-06-29,album,True
2018-07-28,1,2G7V7zsVDxg1yRsu7Ew9RJ,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,4.0,In My Feelings,217925,2018-06-29,album,True
2018-08-04,1,2G7V7zsVDxg1yRsu7Ew9RJ,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,4.0,In My Feelings,217925,2018-06-29,album,True
2018-08-11,1,2G7V7zsVDxg1yRsu7Ew9RJ,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,4.0,In My Feelings,217925,2018-06-29,album,True
2018-08-18,1,2G7V7zsVDxg1yRsu7Ew9RJ,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,4.0,In My Feelings,217925,2018-06-29,album,True
2018-08-25,1,2G7V7zsVDxg1yRsu7Ew9RJ,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,4.0,In My Feelings,217925,2018-06-29,album,True
2018-09-01,1,2G7V7zsVDxg1yRsu7Ew9RJ,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,4.0,In My Feelings,217925,2018-06-29,album,True
